Source	Target	Notes
so so sbyar	affix; join together	
so so skye bo	common being	
so so skye bo nyid	state of an ordinary being	
so so tha dad pa	individually distinct	
so so yang dag par rig pa	individual knowledge	
so so yang dag par rig pa bzhi	four correct individual knowledges{PGP 97.5}; four individual correct	
so so yang dag par rig pa thob pa	attain individual knowledge	
so so yang dag rig	individual knowledge	
so so'i bdag	individually (powered)	
so so'i las	individual action/karma	
so so'i mthu	exalted	
so so'i nang	internally; individually	
so so'i skye bo	common being; ordinary being	
so sor	separately, individually, one after another | individual(ly); ordinary; discrete; separate; diverse; different	
so sor 'byed	differentiation; differentiate	
so sor 'chad par byed pa	explainer	
so sor 'chags pa	individually confess; individually reveal	
so sor 'chags par 'gyur ba	individually confess; individually reveal	
so sor 'chags par byed	individually confess; individually reveal	
so sor bkag pa	individual negation	
so sor brtag pa	individual analysis	
so sor brtag par bya	object of individual analysis; will individually analyze	
so sor brtag par byas te	individually analyzes	
so sor brtags 'gog	analytical cessation	
so sor brtags min gyi 'gog pa	non-analytical cessation{Gön-chok}	
so sor brtags nas	having individually analyzed	
so sor brtags pa	individual analysis	
so sor brtags pa dang bsgoms pa'i stobs	power of individual investigation and meditation	
so sor brtags pa'i 'gog pa	analytical cessation	
so sor brtags sgom pa	analytical meditation	
so sor bshags pa	reveal; individually reveal; (individually) confer; (individually) confess	
so sor bshags par byed	reveal; individually reveal; (individually) confer; (individually) confess	
so sor bshags so	reveal; individually reveal; (individually) confer; (individually) confess	
so sor gcod	bifurcate	
so sor ma brtags pa'i btang snyoms	non-analytical equanimity	
so sor mthar pa	individual emancipation	
so sor myong bar 'gyur ba	individually experience; experience	
so sor nges pa	distinction	
so sor phye nas	through making the distinction	
so sor rang gis 'dzin pa'i phyir	due to apprehending by oneself/individually	
so sor rtog go	individually investigate; individual investigation	
so sor rtog pa	individual investigation	
so sor rtog pa dang bsgoms pa'i stobs	power of individual investigation and meditation	
so sor rtog pa yid la byed pa	mental contemplation of individual investigation	
so sor rtog pa'i shes rab	wisdom of individual analysis	
so sor rtog pa'i stobs la brten pa	in dependence upon the power of individual investigation	
so sor rtog pa'i ye shes	exalted wisdom of individual investigation	
so sor rtogs pa	individual realization; individually realize	
so sor sbyar	affix; individually affix; connect	
so sor skyes bo	common being; ordinary being	
so sor skyes bu	ordinary being	
so sor spongs	individually abandon	
so sor thar pa	individual liberation; individual emancipation	
so sor thar pa'i sdom pa	vow of individual liberation	
so sor yang dag par rig pa	individual knowledge	
so thar	individual emancipation	
so to rog po	a big black bird that cannot go into water to get fish, so it stays on the	
so tshis	housekeeping	
so'i skye bo	common being; ordinary being	
sog	see gsog | to gather, to collect	
sog yul	Mongolia	
sogs	and so forth; such as, including, among others | etc; and so forth	
sogs pa	etc; and so forth	 [Hopkins]: etc.
sol ba	charcoal	
som nyi	doubt	
som nyi dang bcas pa	having doubt; doubting	
som nyi med	non-doubt; free from doubt	
son	arrive; reach; cross	
son shing	having gone; having passed; having become	
song	see 'gro | to go | gone; passed; become; occured; proceeded; has been accepted{BJ	
song ba	become; gone; passed; proceeded; occurred	
song tshad kyi rtags	sign which appears to the mind	
sor	finger	
sor 'dus	withdrawal	
sor bzhag	leave as is; leave as it is	
sor bzhi tsam gyis	just four fingers	
sor mo	finger	
sor mo lnga	five fingers {VM}	
sor mor ring ba	long fingers	
sos	see 1'tsho | to take care; to nourish, to raise; to restore | to recover; be cured	
spang	abandon; give up; eliminate; dispel; dispell; set aside	
spang ba dang bcas pa	together with abandonment; having abandonment {T}	
spang ba med pa	non-abandonment; not giving up	
spang bar bya	will abandon; object of abandonment	
spang bar bya ba	will abandon; object of abandonment	
spang bar bya ba dang spong bar byed pa	object of abandonment and abandoner	
spang bar bya ba mnyam pa	sameness of objects of abandonment	
spang bar ma yin pa	non-abandoning; non-abandonment	
spang blang	{GD:628} abandonment of what is not desirable	
spang bya	object of abandonment{Gön-chok}; will abandon	
spang bya cig car ba	simultaneous objects of abandonment{Gön-chok}	
spang bya cig char ba'i dgra bcom pa'i mkhyen pa	exalted knower of a Foe Destroyer who has simultaneous objects of	
spang bya gcig char ba'i dbang du byas pa	[paths of release of a Hearer's path of meditation that are] done in	
spang bya rim gyis pa	gradual objects of abandonment; a gradualist with respect to objects of	
spang bya rim gyis pa'i dbang du byas pa	[paths of release of a Hearer's path of meditation that are] done in	
spang bya rim gyis pa'i dgra bcom pa'i mkhyen pa	exalted knower of a Foe Destroyer who has gradual objects of	
spang byed	abandoning; abandoner	
spang gnyen gyi 'dod tshul	the mode of assertion of [objects of] abandonment and antidotes{PGP	
spang pa	abandon	
spang phyir brtson 'grus	effort for the sake of abandoment {T}	
spangs	to abandon | abandon; give up; eliminate; dispel	
spangs bya	object of abandonment	
spangs nas	having abandoned; having given up	
spangs nas rab tu 'byung ba	to come forth [as a monk or nun] having abandoned [the worldly life] ?	
spangs pa	abandon; give up; eliminate; dispel; abandonment	
spangs pa nyid	abandonment	
spangs pa zung 'jug	union of abandonment	
spangs par gyur	abandon; give up	
spangs pas	due to abandonment; through abandonning {T}	
spangs pas rab tu phye ba	thoroughly distinguished by having abandoned ...{PGP 70}	
spel	increase; augment	
spel ba	cause to increase; increase; augment	
spel mar	alternating	
spel mar skye ba	alternating production	
spen pa	saturday	
spo	move; change location	
spobs pa	courage	
spobs pa dang ldan pa	courageous; inspired	
spobs pa med pa	not courageous; uninspired	
spobs pa mi chod pa; spobs pa ma tshod pa	courage not cut off; inspiration not cut off	
spobs pa mi tshod pa	courage not cut off; inspiration not cut off	
spobs pa nges pa	definite inspiration; definite courage	
spobs par 'gyur ba	be courageous; inspired	
spobs par byed pa	be courageous; inspired	
spong	to abandon | abandon; eliminate; give up; dispel{BJ 36.4}	
spong 'gyur	abandon; eliminate; give up; dispel	
spong ba	abandon; eliminate; give up; dispel; abandonment{N}	
spong ba ni lhag ma dang bcas pa	abandonment with remainder	
spong ba ni lhag ma mchis pa	abandonment without remainder	
spong ba'i gang zag	person who abandons	
spong ba'i lam	path of abandonment	
spong ba'i mtshan ma	sign of abandonment	
spong ba'i yan lag	limb of abandonment	
spong bar 'gyur	abandon; eliminate; dispell; give up	
spong bar bgyid pa	abandon; eliminate; dispell; give up	
spong bar byed	abandon; abandoner; eliminate; dispel; give up	
spong bar byed pa	abandon; abandoner; eliminate; dispel; give up	
spong byed	abandoner	
spong du med pa'i 'gal bar shes	know this as an undispellable contradiction{BJ 42.7}	
spong pa	abandon; eliminate; give up; dispel; elimination{D2}	
spongs	to abandon | abandon; eliminate; give up; dispel; abandonment	
spongs pa	abandon; eliminate; give up; dispel; abandonment	
spos	incense; perfume	
spos kyi glang po	Gandhahastin [p.n. of a Bodhisattva]	
spra	adorned with{BJ 35.7}	
sprad	to give, to return; to make to meet, to introduce	
sprang	to beg; beggar	
sprang po	beggar	
spras	adorned with{BJ 35.7}	
spre	monkey	
spre'u	monkey	
spre'u phrug	young of a monkey, monkey-child	
sprel phrug	young of a monkey, monkey-child	
sprin	cloud	
sprin dang 'dra ba	cloud-like; similar to a cloud	
sprin dang bral ba'i 'od zer dra ba can	having rays of light and free from clouds	
sprin la sogs pas bsgribs pa	obstructed by clouds and so forth	
sprin la zhon	Cloud Mount	
sprin lta bu	cloud-like; like a cloud	
sprin med	Cloudless	
spro	elaborate; spread out; spread; go out; proceed; emit; emanate; diffuse	
spro ba	joy | elaborate; spread out; spread; go out; proceed; be enthusiastic for	
spro ba bskyed pa	produce elaborations; elaborate; spread out	
spro ba che	great elaboration	
spro ba chung ba	little elaboration	
spro ba chung ngu	little elaboration	
spro ba skyed par 'gyur ro	will produce elaborations	
spro ba skyes na	when [one] generates elaborations	
spro ba yid la byed pa	mental engagement with respect to elaborations	
spro bar	elaborate	
spro bar bya ba	object of elaboration	
spro bar skye bar 'gyur ro	will generate elaborations	
spro can	elaborate; spread out	
spro na	if [one] does it out more extensively{VM}	
spro zhing skyo ba med pa	elaboration and non-aversion	
sprod	to give, to return; to make to meet, to introduce	
spros	elaborate; spread out; spread; go out; proceed; extensively	
spros bral	free from elaborations{N}	
spros bral rtogs pa'i blo	the awareness which realizes that which is free from	
spros pa	proliferations; elaborations	
spros pa dang srid par 'dren pa chad pa	severing the connection to conceptuality and existence	
spros pa ma mchis pa	no proliferations/elaborations; non-proliferation/elaboration	
spros pa med	no elaborations; non-elaboration	
spros pa med pa	no elaborations; non-elaboration	
spros pa med pa nyid	non-elaboration	
spros pa med pa'i bdag nyid	nature that is free from elaboration; nature of non-elaboration	
spros pa rnam par bcad tsam	mere elimination of proliferations/elaborations	
spros par bya ba ma yin pa	no object of elaboration; non-elaboration	
spros par byed	elaboration; elaborate	
sprug	to shake off	
sprugs	to shake off	
sprul	send forth an emanation; emanate; emanation	
sprul 'drar	like an emanation; emanation-like	
sprul byas	emanated; sent forth an emanation	
sprul byas te	emanating; having sent forth an emanation	
sprul chen po	great emanation	
sprul nas	having emanated; emanating	
sprul pa	verb: to send forth an emanation; emanate. noun: emanation	
sprul pa dag gis dga' ldan gi gnas la sogs par skye bar kun tu ston pa	emanations teach/demonstrate birth in the lands of The Joyous	
sprul pa don du gnyer ba	one seeking emanations {T}	
sprul pa la sogs pa	emanations and so forth	
sprul pa pa	emanator; emanation	
sprul pa rnam pa gsum	three kinds of emanation	
sprul pa rnams kyis ston par byed pa	teaching by emanations	
sprul pa sku	emanation body	
sprul pa'i gang zag	unembodied emanation	
sprul pa'i nges par ston pa	definite teaching of emanations	
sprul pa'i sbyor ba'i thabs kyi las can	having the activities of methods engaging in emanation	
sprul pa'i sku	Emanation Body	
sprul par mdzad	send forth an emanation; emanate{hon.}	
sprul sku	Emanation Body	
sprul te	emanating	
spu	hair	
spu gyen du 'khyil ba	hair twisting upward	
spu long	goose bumps	
spu long byed	to cause goose bumps	
spyad	to do, to practice, to act; to use; to enjoy | practice; enjoy; make use of; perform	
spyad pa	practice; enjoy; make use of; perform	
spyad pa rnam sbyong gi dmigs pa	object of observation for purifying behavior	
spyad pa spyod pa na	when one practices	
spyad par bya ba yin no	practice; enjoy; make use of; perform	
spyad par gyur pa	practitioner; enjoyer; performer	
spyan	eye | eye{hon.}	
spyan 'dren	invite	
spyan drang	invite	
spyan drangs	invite	
spyan drongs	invite	
spyan ras gzigs	Spyan-ras-gzigs | Avalokiteshvara [p.n. of the Buddha of compassion]	
spyan ras gzigs brtul zhugs	Avalokitavrata (? - ?)	
spyan ras gzigs dbang phyug	Avalokiteshvara [p.n. of the Buddha of compassion]; Avalokiteshvara	
spyan ras gzigs dbang phyug gi ye shes	exalted wisdom of Avalokiteshvara	
spyan ras gzigs kyi dbang phyug	Avalokiteshvara [p.n. of the Buddha of compassion]	
spyan snga	before the eyes; in the presence of	
spyan sngar	[eye-before]; before the eyes; in the presence of	
spyang po	clever{D1}	
spyangs pa	depend on; hold on to; dependence; support	
spyi	generality; general; all; universal {GD:269}	
spyi bo	top/crown of the head | crown of the head; top of the head	
spyi dang bye brag	generality and particular	
spyi dngos po ba	real universal {GD:403}	
spyi don	general meaning	
spyi gtsug	crown of the head; top (of the head)	
